タイプ	名称	特徴	強み	弱み	組織内で向いている役割
ISTJ	管理者 (The Inspector)	責任感が強く、組織的で現実的。ルールや手順を重視し、信頼できる。	信頼性、注意深さ、徹底的な計画力	柔軟性の欠如、変化に対する抵抗	プロジェクト管理、品質保証、会計
ISFJ	擁護者 (The Protector)	配慮があり、協力的で信頼性が高い。他者をサポートすることに喜びを感じる。	忠誠心、共感力、チームプレイヤー	自己犠牲的、過度な心配	人事、カスタマーサポート、教育
INFJ	提唱者 (The Advocate)	洞察力があり、理想主義的。強い価値観を持ち、他者を導く力がある。	創造的なビジョン、強い信念、共感力	完璧主義、感情的に疲弊しやすい	相談役、リーダーシップ、クリエイティブディレクター
INTJ	建築家 (The Architect)	独立心が強く、戦略的な思考を持つ。理論や計画を重視し、未来志向。	戦略的思考、問題解決力、自己管理	他者とのコミュニケーション不足、感情面での冷淡さ	戦略プランナー、研究開発、経営コンサルタント
ISTP	巨匠 (The Craftsman)	実際的で機械的な能力が高い。問題解決が得意で、柔軟性に富む。	問題解決力、手先の器用さ、現実的アプローチ	長期的計画の不足、感情表現の欠如	技術職、エンジニア、メカニック
ISFP	冒険者 (The Adventurer)	柔軟で順応性が高く、芸術的感覚がある。自分の価値観に従い、自由を好む。	芸術的な感性、柔軟性、実行力	決断力の不足、計画性の欠如	デザイン、芸術、ホスピタリティ
INFP	仲介者 (The Mediator)	理想主義的で、他者の感情に敏感。創造的で自己表現を大切にする。	創造力、共感力、高い道徳感	現実逃避、自己犠牲	カウンセリング、クリエイティブライター、人事
INTP	論理学者 (The Thinker)	分析的で、知識追求に情熱を持つ。理論や抽象的な概念に興味を持つ。	論理的思考、分析力、独創性	実務的スキルの不足、コミュニケーション不足	研究者、アナリスト、プログラマー
ESTP	起業家 (The Entrepreneur)	現実的でエネルギッシュ。リスクを恐れず、行動力があり即断即決。	行動力、柔軟性、社交性	無計画、衝動的	セールス、マーケティング、起業家
ESFP	エンターテイナー (The Performer)	社交的で明るく、楽しむことを重視。他者を楽しませることが得意。	社交性、適応力、チームスピリット	短期的視野、過度な注意散漫	広報、イベントプランナー、ホスピタリティ
ENFP	広報運動家 (The Campaigner)	創造的で情熱的。他者との関係を重視し、好奇心旺盛。	創造力、熱意、人間関係構築力	一貫性の不足、現実逃避	プロジェクトマネージャー、クリエイティブディレクター、ソーシャルワーカー
ENTP	討論者 (The Debater)	知的で論争好き。新しいアイデアに挑戦し、発想力に優れる。	創造的な問題解決、知的な柔軟性	結果を出すためのフォロー不足、論争好きすぎる	イノベーション、コンサルティング、プロダクト開発
ESTJ	幹部 (The Executive)	組織的で現実的。リーダーシップを発揮し、効率的な運営を好む。	リーダーシップ、効率性、組織力	他者の意見を軽視、過度に厳格	管理職、プロジェクトマネージャー、運営責任者
ESFJ	領事 (The Consul)	社交的で協力的。他者を助けることを喜びとし、伝統を重んじる。	社交性、協力性、信頼性	批判に弱い、他者依存	チームリーダー、カスタマーサービス、人事
ENFJ	主人公 (The Protagonist)	カリスマ性があり、指導力に優れる。他者の成長を助けることに情熱を持つ。	カリスマ性、コミュニケーション力、指導力	自己犠牲、他者に依存しやすい	リーダーシップ、人材開発、教育者
ENTJ	指揮官 (The Commander)	強いリーダーシップを持ち、戦略的。目標達成のために効率的な方法を追求する。	戦略的思考、リーダーシップ、決断力	感情面での冷淡さ、他者の意見を軽視	経営、戦略プランニング、プロジェクト管理
